aX,aY,aZ,gX,gY,gZ
0.069,-0.102,1.052,-62.805,8.606,-3.418
0.065,-0.082,1.058,-61.401,3.967,-2.319
0.058,-0.089,1.068,-57.800,2.319,-2.502
0.058,-0.114,1.087,-57.739,4.639,-4.456
0.067,-0.110,1.086,-59.814,11.963,-11.292
0.084,-0.054,1.095,-59.692,13.733,-14.771
0.085,-0.024,1.112,-57.678,14.282,-16.663
0.090,-0.008,1.108,-46.936,16.724,-15.015
0.091,-0.018,1.075,-39.734,18.799,-13.306
0.092,-0.033,1.044,-29.358,19.592,-11.658
0.105,-0.063,0.995,-28.625,17.761,-11.169
0.113,-0.065,0.986,-35.095,13.000,-12.390
0.098,-0.041,0.998,-37.598,10.010,-13.367
0.089,-0.026,1.010,-34.485,4.089,-11.719
0.152,0.088,1.229,-24.902,-5.432,-10.071
0.153,0.118,1.251,1.526,-26.917,-5.737
0.112,0.056,1.101,3.296,-22.644,-6.348
0.105,0.049,1.047,-5.371,2.625,-12.573
0.090,0.008,0.982,-4.883,11.536,-12.634
0.089,-0.022,0.965,0.305,10.498,-7.812
0.093,-0.024,0.959,1.465,2.502,-4.028
0.096,-0.012,0.968,2.625,-13.184,3.418
0.096,-0.011,0.998,3.784,-15.747,3.479
0.087,0.000,1.008,7.324,-12.146,-3.662
0.050,0.021,1.012,9.521,-8.545,-4.883
0.041,0.011,1.018,11.230,-5.554,-1.038
0.039,-0.007,1.029,10.559,-5.432,1.282
0.049,-0.016,1.029,7.324,-2.869,3.296
0.073,-0.022,1.018,4.883,-0.488,2.380
0.078,-0.016,1.013,1.709,4.456,-1.160
0.073,-0.020,0.995,1.892,4.822,-1.160
0.070,-0.023,0.990,3.967,1.709,0.977
0.066,-0.014,0.999,4.700,0.671,1.709
0.067,-0.015,1.005,4.883,0.916,1.770
0.065,-0.020,1.006,5.005,3.052,-0.061
0.063,-0.030,0.999,5.066,3.601,-0.793
0.065,-0.032,1.000,3.845,2.075,-0.977
0.070,-0.035,1.013,3.052,1.465,-1.160
0.072,-0.035,1.016,2.014,2.502,-1.648
0.074,-0.033,1.012,1.831,2.686,-1.587
0.073,-0.031,1.005,1.770,2.991,-0.610
0.081,-0.022,1.000,1.587,3.723,-0.610
0.083,-0.016,1.000,0.854,3.113,-0.732
0.082,-0.024,0.998,0.916,2.686,-0.427
0.085,-0.023,0.997,1.770,3.784,-0.671
0.091,-0.026,0.993,2.441,3.418,-0.427
0.089,-0.033,0.995,3.662,1.038,0.305
0.077,-0.038,1.002,4.395,0.549,0.549
0.071,-0.037,1.002,6.348,0.977,1.892
0.074,-0.034,0.999,7.202,1.587,2.380
0.081,-0.030,1.003,7.385,1.404,2.380

-0.252,-1.002,-1.283,189.819,86.426,-66.895
-0.149,-0.999,-1.257,103.455,7.263,-30.029
0.071,-0.937,-0.986,56.824,-34.851,-18.127
0.117,-0.874,-0.771,-17.517,-82.214,-11.597
0.139,-0.849,-0.438,-32.104,-72.327,-15.137
0.153,-0.903,-0.388,-38.513,-5.615,-12.573
0.163,-0.940,-0.483,-41.565,36.011,-5.432
0.152,-0.936,-0.586,-60.303,94.177,4.578
0.064,-0.929,-0.722,-76.599,100.037,5.859
0.031,-0.958,-0.732,-111.023,64.514,13.733
0.050,-0.986,-0.618,-129.517,32.654,23.987
0.094,-0.945,-0.554,-151.062,-35.706,45.349
0.141,-0.902,-0.463,-148.682,-73.425,53.040
0.119,-0.904,-0.418,-145.325,-131.165,60.791
0.072,-0.850,-0.298,-152.039,-138.428,61.768
0.073,-0.800,-0.245,-171.570,-126.709,61.218
0.107,-0.723,-0.176,-181.335,-121.643,59.814
0.123,-0.688,-0.130,-209.045,-125.183,57.800
0.142,-0.607,0.035,-227.783,-130.066,57.983
0.137,-0.460,0.289,-262.573,-138.489,55.664
0.109,-0.406,0.421,-268.433,-142.517,51.392
0.059,-0.381,0.536,-252.258,-144.531,41.687
0.000,-0.325,0.702,-242.493,-134.155,36.011
0.040,-0.267,0.761,-240.662,-97.229,20.142
0.125,-0.118,0.905,-243.164,-88.928,12.695
0.114,-0.083,0.989,-234.131,-95.642,-0.549
-0.007,-0.106,1.123,-222.046,-93.811,-8.789
-0.048,-0.138,1.139,-187.683,-59.692,-23.132
-0.041,-0.194,1.078,-171.143,-42.725,-25.146
-0.028,-0.188,1.059,-159.485,-46.265,-15.503
