aX,aY,aZ,gX,gY,gZ
0.452,-0.719,2.077,33.569,-122.742,161.987
0.176,-0.743,2.164,-2.563,-111.084,180.115
-0.297,-0.767,2.209,-18.799,-92.651,183.533
-0.593,-0.786,2.061,-53.040,-49.744,183.594
-0.682,-0.796,1.933,-93.567,-32.654,164.551
-0.688,-0.803,1.612,-115.479,-41.443,142.883
-0.630,-0.807,1.448,-150.696,-67.871,93.079
-0.479,-0.827,1.180,-158.936,-70.557,75.989
-0.419,-0.822,1.073,-157.593,-38.818,67.200
-0.390,-0.754,0.891,-150.879,-7.935,71.594
-0.437,-0.698,0.806,-135.681,51.208,79.346
-0.558,-0.572,0.673,-131.470,65.796,75.317
-0.597,-0.510,0.626,-132.812,56.885,46.021
-0.597,-0.403,0.516,-135.559,41.199,25.879
-0.574,-0.354,0.473,-132.568,16.846,-8.789
-0.501,-0.266,0.442,-125.916,12.085,-21.545
-0.436,-0.207,0.461,-106.018,15.198,-37.109
-0.411,-0.160,0.481,-81.665,35.339,-42.847
-0.376,-0.055,0.521,-72.021,48.157,-43.274
-0.353,-0.005,0.536,-62.988,67.810,-47.729
-0.277,0.048,0.523,-63.538,70.435,-53.650
-0.226,0.046,0.493,-69.702,56.335,-69.946
-0.116,0.044,0.420,-72.205,41.687,-78.308
-0.068,0.048,0.405,-71.777,11.230,-91.187
0.032,0.037,0.413,-70.129,-0.549,-97.229
0.096,0.025,0.410,-64.392,-14.648,-106.384
0.213,0.047,0.407,-59.204,-17.517,-106.445
0.250,0.072,0.413,-43.823,-10.864,-103.394
0.284,0.094,0.416,-35.095,-2.930,-103.088
0.291,0.110,0.418,-20.203,7.629,-103.882
0.306,0.148,0.433,-15.320,7.568,-105.347
0.317,0.159,0.441,-9.521,-0.793,-109.924
0.338,0.144,0.470,-7.141,-7.507,-111.145
0.350,0.134,0.488,-2.808,-16.541,-110.718
0.395,0.126,0.541,-1.282,-18.127,-109.253
0.423,0.128,0.561,-2.258,-15.381,-106.445
0.480,0.160,0.533,-3.540,-12.756,-106.812
0.510,0.161,0.481,-4.272,-16.907,-107.727
0.554,0.113,0.376,-1.892,-24.963,-106.567
0.556,0.102,0.374,13.123,-39.185,-101.501
0.563,0.124,0.423,23.865,-40.527,-99.609
0.570,0.147,0.472,43.823,-35.645,-94.360
0.586,0.147,0.590,48.218,-32.532,-89.783
